,windSpeed,humidity,temperature,Affluent_Achievers,Rising_Prosperity,Comfortable_Communities,Financially_Stretched,Urban_Adversity,Not_Private_Households,hour,day_of_week,month
2012-07-28 19:00:00,4.35,0.41,18.04,139.21500019999996,794.5969999000002,490.8859999000003,229.85899999999998,338.8449999,18.356999899999998,19,5,7
2012-07-28 20:00:00,4.57,0.46,16.77,145.83699990000002,813.8989997000006,519.4900001000001,240.10100009999996,338.8389997999999,17.269999999999996,20,5,7
2012-07-28 21:00:00,4.18,0.52,16.0,157.4430002,846.2539996000003,537.2600001,249.8209999,320.08599979999985,21.397,21,5,7
2012-07-28 22:00:00,4.23,0.53,14.93,135.79700009999996,732.3249996999999,476.3610002000001,211.60399999999998,293.0400000000001,20.059999899999994,22,5,7
2012-10-14 23:00:00,2.3,0.87,6.76,139.7259999,633.4120002000003,453.16599990000014,213.31399990000006,259.11899990000046,19.1539997,23,6,10
2012-10-15 00:00:00,1.96,0.89,5.78,108.37499969999999,561.4009996999997,368.8650000000001,166.743,247.36400030000024,19.9929998,0,0,10
2012-10-15 01:00:00,1.53,0.95,4.78,92.75900019999999,528.3589999000005,321.70300010000005,144.887,236.85199980000013,18.287999899999996,1,0,10
2012-10-15 02:00:00,1.7,0.95,4.29,89.34200019999999,467.96299979999947,286.5520002,135.45799999999997,184.7040001000001,18.288000000000004,2,0,10
2012-10-15 03:00:00,1.43,0.96,4.09,88.16899989999999,429.2610000000009,282.8990001,129.83200010000002,175.76400000000012,18.401000100000005,3,0,10
2012-10-15 04:00:00,1.62,0.97,4.16,88.76299989999998,452.91700020000013,300.1229999,142.83700000000002,182.2269999,17.5899997,4,0,10
2012-10-15 05:00:00,1.27,0.98,4.73,114.66400000000003,547.8049999000002,398.2649999,199.93199989999994,212.18099990000036,17.3769999,5,0,10
2012-10-15 06:00:00,2.13,0.94,5.31,186.63500009999998,832.2650003999995,550.7580003999999,288.8000002000001,293.61799950000005,17.403,6,0,10
2012-10-15 07:00:00,1.94,0.94,5.24,196.9349997,985.7000007999991,632.2460002,324.1710002,351.59100000000024,20.549000200000002,7,0,10
2012-10-15 08:00:00,2.59,0.88,7.15,199.18099990000007,890.9739993999987,594.4899999,295.0530003,310.0790002000001,17.410000100000005,8,0,10
2012-10-15 09:00:00,3.37,0.82,9.21,185.91399969999998,842.5920005999994,572.1769999000004,283.80900010000005,299.0480003000002,16.049000000000003,9,0,10
2012-10-15 10:00:00,4.56,0.81,10.47,192.86900049999997,781.9349996999993,543.6499997000002,274.51800030000004,302.1120003000001,18.935000100000003,10,0,10
2012-10-15 11:00:00,5.32,0.77,11.67,178.66399969999995,789.8709998000002,542.4299997999999,271.84600050000006,295.9119996000004,20.439,11,0,10
2012-10-15 12:00:00,5.59,0.76,12.27,190.64600049999996,802.8889995999994,548.1740006000001,282.98100000000005,300.3570002000002,18.151999899999996,12,0,10
2012-10-15 13:00:00,5.84,0.73,12.66,176.8689998,804.9899995999991,547.7369996000001,273.615,314.55499980000013,19.229,13,0,10
2012-10-15 14:00:00,5.53,0.69,13.03,179.58199960000005,743.2980000999994,537.8650002,272.42799999999994,305.62699990000004,19.458000000000002,14,0,10
2012-10-15 15:00:00,4.6,0.67,12.62,191.24799990000008,819.0859998999997,610.4469998,298.84099970000005,336.40699979999994,22.2429999,15,0,10
2012-10-15 16:00:00,3.53,0.69,12.51,230.3370004999999,976.1050004999987,701.9289997,364.4360005,382.99100029999994,24.356999799999997,16,0,10
2012-10-15 17:00:00,3.25,0.79,11.57,297.0490006,1202.9880003999997,870.6979997000002,457.81899999999996,440.18699960000004,27.190999999999995,17,0,10
2012-10-15 18:00:00,4.09,0.78,12.17,338.8820001999999,1427.1089993000003,1001.0820005,500.9510005,516.8509993999996,30.500999800000002,18,0,10
2012-10-15 19:00:00,3.68,0.81,11.78,320.64700030000006,1450.1599983999997,941.3900001000002,453.0120003000002,470.19999989999997,32.4639999,19,0,10
2012-10-15 20:00:00,3.38,0.84,11.38,288.5540006,1362.5570013999995,891.0610007000004,432.9439998,436.8600001,36.52699990000001,20,0,10
